Time,M0,M1,M2,M3,M4,M5,M6,M7
3.197083333,0.032589836,-0.151016711,0.069134308,-0.008742355,0.00901845,0.038798413,0.08918118,0.042304655
3.224894444,0.070791048,-0.122885887,0.081341157,-0.070668698,-0.01317153,0.033530203,0.05700586,0.030284061
3.2527,0.077897363,-0.151563266,0.067186894,-0.079392418,-0.023755658,0.156223561,0.043815961,0.014920343
3.280491667,0.082685611,-0.15843719,0.105428854,-0.056537293,-0.030670075,0.01705733,0.064934392,0.003887407
3.308286111,0.081464996,-0.161201081,0.096939768,-0.036339691,0.009786266,-0.165153008,0.056854441,0.03533435
3.336077778,0.05947957,-0.159245278,0.123828399,-0.050204683,0.013059846,-0.074411728,0.074475364,0.01564371
3.363877778,0.053881584,-0.159541198,0.075827058,-0.037113,-0.00989753,0.032339572,0.074487914,0.054004299
3.391675,0.076481847,-0.169193877,0.024809343,-0.029859568,-0.023821465,0.081013468,0.06481833,0.061132151
3.419469444,0.076396375,-0.16196322,0.050066564,-0.058198026,-0.069495398,0.200704529,0.063540557,0.06321978
3.447261111,0.125433085,-0.173239664,0.185340637,-0.047903168,-0.012366745,0.230439095,0.059090653,0.049197841
3.475063889,0.14243741,-0.170817775,0.096341121,-0.051914897,-0.035883011,0.15125123,0.089203774,0.007456854
3.502858333,0.062889874,-0.130553187,0.089124212,-0.050698861,0.011018998,0.080856958,0.073317452,0.000416237
3.530644444,0.001964046,-0.146455543,0.067520457,-0.017548699,-0.003213871,0.146638548,0.08851753,-0.006438318
3.558455556,0.006162775,-0.162676247,0.051490431,-0.017174531,-0.028592994,0.176146064,0.074702524,-0.005327469
3.586263889,0.054345014,-0.154422708,0.070259227,-0.021708371,0.07236283,0.148437455,0.073631392,-0.002702108
3.614066667,0.045004492,-0.157289737,0.076392463,-0.017243997,0.07901284,0.133121114,0.05224596,0.017837277
3.641872222,0.070493515,-0.164490012,0.048141486,-0.017353535,-0.041429026,0.165938255,0.065396933,0.050265967
3.669677778,0.068957691,-0.133254777,0.138703745,-0.021970479,-0.044846601,0.14333639,0.040564776,-0.009552963
3.697483333,0.059360854,-0.1480677,0.0727029,-0.044484788,0.040151688,0.212598707,0.035776682,0.011189893
3.725297222,0.07424969,-0.157258322,0.103989216,-0.029786633,0.095748875,0.18689594,0.055307081,0.015123573
3.753102778,0.071602994,-0.132984256,0.122660322,-0.046737936,0.006433943,0.135057726,0.064361816,0.023294343
3.780911111,0.069832572,-0.143412073,0.187066263,-0.025353964,0.007176602,0.122541058,0.053351893,0.007621726
3.808708333,0.077494927,-0.120675682,0.106285767,-0.032986336,0.096651585,0.103181023,0.055881904,0.028681962
3.836502778,0.062301328,-0.129910974,0.070047333,-0.037263332,0.015499021,0.079922252,0.065629357,0.010535635
3.864288889,0.05102228,-0.145921368,0.065602625,-0.065531786,0.069154734,0.026842368,0.083043834,0.007960054
3.892083333,0.065041593,-0.15584578,0.051206182,-0.046179898,-0.006425129,0.123737991,0.088924122,0.021923098
3.919886111,0.029986478,-0.105571116,0.310367527,-0.011757963,0.024990022,0.157313722,0.057574449,0.06351466
3.947697222,0.071803074,-0.103494965,0.214103378,-0.026211112,0.044399729,0.074080296,0.047373274,0.039925128
3.9755,0.045609806,-0.102035769,0.091951007,-0.068564942,0.076433249,0.081925246,0.078369697,0.121092363
4.003305556,0.039239407,-0.107302396,0.068085344,-0.068527925,-0.013911979,0.105521504,0.0551775,0.171335444
4.031097222,0.059498808,-0.119901731,-0.010525553,-0.008833426,-0.045058821,0.117563625,0.078279227,-0.080929289
4.058908333,0.037129705,-0.157941718,0.155015894,-0.034064706,-0.059033835,-0.019811405,0.056798109,0.0679357
4.086716667,0.05993783,-0.116315566,0.039948635,-0.022052559,-0.080952335,0.119603523,0.061855657,0.037231673
