Time,M0-1,M1-1,M2-1,M3-1,M4-1,M5-1,M6-1,M7-1,M0-2,M1-2,M2-2,M3-2,M4-2,M5-2,M6-2,M7-2
2.974769444,0.142539579,-0.013558721,0.164576701,0.013404207,0.016194849,0.147088439,0.14624266,0.106089288,0.049312146,-0.077288593,0.087547977,0.043609299,0.021266347,0.17419462,0.135868701,0.078052832
3.002569444,0.147641276,-0.051307526,0.067866591,0.024078279,-0.013588678,0.133827947,0.135570183,0.086716283,0.008177318,-0.057368654,0.056381146,0.018993104,0.024439251,0.177928606,0.128828885,0.087511003
3.030369444,0.147136073,-0.077737948,0.097118089,0.00685174,0.052321692,0.146615225,0.132770939,0.062743149,0.040880071,0.008350861,0.071120589,0.052920486,0.018298205,0.147062095,0.127005186,0.084976762
3.058180556,0.190399284,-0.0234884,0.132996691,0.00074823,0.040738739,0.143383693,0.150498818,0.10191816,0.051721363,-0.007253731,0.06506582,-0.122768944,0.033444134,0.153978095,0.116514138,0.106931043
3.085986111,0.149559276,-0.082846577,0.120579298,0.003286002,0.022427835,0.139504367,0.139586592,0.131070276,0.055304057,-0.049386607,0.068907489,0.040890512,0.0309501,0.159238536,0.13122564,0.087271165
3.113777778,0.180162595,-0.006877999,0.122657153,0.000194795,0.044721399,0.140805205,0.158327351,0.13564581,-0.001838288,0.012667717,0.089968181,-0.051346568,0.056790414,0.217875591,0.1244543,0.109472865
3.141566667,0.155570362,-0.023630391,0.141554202,-0.002954242,0.025883909,0.139276545,0.145846664,0.05852379,0.006602424,0.009054116,0.071871211,-0.046304265,0.087762905,0.15908875,0.134635463,0.08868328
3.169372222,0.194230746,-0.021650098,0.104858768,-0.005223749,0.040068106,0.139978763,0.147740782,0.109590255,0.034857906,-0.016741306,0.062282852,-0.019971727,0.023092105,0.142639988,0.141527496,0.082609248
3.197177778,0.161255551,-0.028623385,0.08975848,0.008532726,-0.005323346,0.143688812,0.145621389,0.140371972,0.065597702,-0.066482364,0.101027647,-0.014001688,0.031929417,0.108318207,0.143996533,0.092415564
3.224991667,0.188886011,-0.036187245,0.766900638,0.01944546,0.059019673,0.146489043,0.148768629,0.060324468,0.006456414,-0.073441871,0.096431421,-0.033833327,0.067991719,0.16811072,0.147747723,0.107406528
3.252777778,0.154415724,-0.020757937,0.102779966,0.038965897,0.038220981,0.135913917,0.131907903,0.10172325,0.021490897,-0.028978426,0.109989334,-0.039405016,0.082596671,0.179453693,0.155226116,0.076378798
3.280583333,0.16592188,-0.001206228,0.100314533,0.015027638,0.021869418,0.158373576,0.14627078,0.064946086,0.033863961,-0.016114238,0.0948825,-0.070561647,0.090060694,0.174585446,0.151141703,0.08105785
3.308383333,0.172377244,-0.041539574,0.113677476,0.023729512,0.014212306,0.152485327,0.151483174,0.088789956,0.046742424,0.005634313,0.100752887,0.311547974,0.084615485,0.119892392,0.148086574,0.095517867
3.336180556,0.147790661,-0.060298017,0.09110319,0.012815041,0.028567518,0.142009202,0.15128999,0.14862457,0.0385624,-0.007103044,0.112261994,0.180089442,0.097142562,0.154907554,0.152970762,0.084356213
3.363997222,0.154199389,-0.054503742,0.109948622,0.0256799,0.048744241,0.136166151,0.131692943,0.067764594,0.051870482,-0.043625415,0.09637919,-0.0842667,0.116225334,0.18747529,0.138894983,0.088426894
3.391805556,0.18342499,-0.021631097,0.092183502,0.040507206,0.03135258,0.141437636,0.131986659,0.146207942,-0.004575644,-0.037261969,0.102393535,0.041799951,0.122230008,0.111364904,0.151460313,0.094089897
3.419597222,0.176975609,-0.057701669,0.136910537,0.052301376,0.035082159,0.136476276,0.148183868,0.047827623,0.007281797,-0.054846258,0.081246272,-0.127924894,0.090536751,0.230876954,0.152264543,0.080650812
3.447402778,0.184616497,-0.050714261,0.199606521,0.041355027,0.025642536,0.164700184,0.143500594,0.150125405,0.004259075,0.007992399,0.104333756,-0.196162229,0.070136927,0.117294556,0.150622257,0.10418662
3.475194444,0.183049732,-0.027036903,0.1024674,0.042714535,0.052831245,0.141010762,0.139531192,0.05631969,0.019063964,-0.004708302,0.10429111,0.125697349,0.063426567,0.136296583,0.138485752,0.096307284
3.503005556,0.147687594,-0.008438452,0.133906676,0.021164249,0.069885761,0.142326256,0.169616041,0.093525274,0.008622267,-0.016739438,0.119929113,0.132886556,-0.000932174,0.047190007,0.14874023,0.077949114
3.530816667,0.169486673,-0.01304089,0.117131649,0.02219328,0.013121938,0.160281056,0.136314921,0.086761793,0.015625632,-0.016854507,0.116566441,0.607748404,-0.051326042,0.170699359,0.140911293,0.090553865
