Time,M0-1,M1-1,M2-1,M3-1,M4-1,M5-1,M6-1,M7-1,,,,
3.364130556,0.053624702,0.071053328,0.11498659,-0.037206299,0.156145861,0.138490019,0.116821257,0.036192797,,,,
3.391941667,0.039957826,0.040625047,0.132113275,0.040252209,0.146504913,0.163694207,0.103285781,0.006762452,,,,
3.41975,0.02975542,0.019815957,0.107615872,-0.034447076,0.147176702,0.191311277,0.073273898,0.055737294,,,,
3.447561111,0.042125721,0.046829617,0.123828512,-0.035394203,0.155868644,0.13837801,0.045194657,0.031020209,,,,
3.475372222,0.0286168,0.112002961,0.08941732,-0.032565258,0.15452097,0.1711669,0.084437036,-0.011777525,,,,
3.503180556,0.054446203,0.073869085,0.101418085,0.008880387,0.125195125,0.150123935,0.138611196,-0.021501543,,,,
3.530983333,0.003660445,0.086226259,0.122163187,-0.030272183,0.145931638,0.188250313,0.118233147,0.029027313,,,,
3.558775,0.014339638,0.019515854,0.143570837,0.106345822,0.139104257,0.18167913,0.094654714,0.065882584,,,,
3.586577778,0.047546333,0.053936958,0.122441774,-0.016984206,0.14237191,0.145173201,0.107665108,0.073368155,,,,
3.614372222,0.022467734,0.063908296,0.097992112,-0.002548089,0.153119645,0.144747202,0.126970458,0.050182051,,,,
3.642175,0.019355868,0.072703187,0.103964366,-0.044981821,0.146455531,0.13727271,0.078375491,0.039535622,,,,
3.669963889,0.004319691,0.039586062,0.125301062,0.038024887,0.148288171,0.136393722,0.103648622,0.054492598,,,,
3.69775,0.036432109,0.075541234,0.124268178,-0.040679004,0.158697015,0.148772482,0.088876913,-0.002865229,,,,
3.725547222,0.024818342,0.039595052,0.119305164,-0.013154248,0.149567833,0.14199103,0.107366606,0.290763535,,,,
3.753341667,0.04685152,0.070000942,0.110153441,-0.028590309,0.145251686,0.146665133,0.106229467,0.061446744,,,,
3.781136111,0.06869523,0.091077296,0.121635984,-0.016969027,0.12982148,0.165101569,0.118283196,0.053406616,,,,
3.808925,-0.111418225,0.058078614,0.095909109,-0.041657545,0.139201431,0.195072093,0.10217544,0.004646613,,,,
3.836719444,0.103504624,0.085996741,0.119416179,-0.004245551,0.144492018,0.134743655,0.103302337,0.056324787,,,,
3.864516667,0.020923026,0.025035595,0.113337868,-0.031530893,0.127457124,0.143579972,0.058135117,0.012772142,,,,
3.892311111,0.214530729,0.052668547,0.128977387,-0.015695875,0.142587058,0.191317451,0.099420358,0.221240217,,,,
