Time,M0 - SGy104-1 - 1%,M1 - SGy104-5 - 1%,M2 - SGy104-4 - 3%,M3 - SGy104-5 - 3%,M4 - SGy104-4 - 6%,M5 - SGy104-5 - 6%,M6 - SGy104-4 - 10%,M7 - SGy104-5 - 10%
3.753166667,0.090691743,0.023383525,0.096046281,0.080716747,0.158847991,0.007356128,0.07794281,-0.021193263
3.780969444,0.031293708,0.03099878,0.098882514,0.081074309,0.162683492,0.023528599,0.033894431,-0.023553315
3.808780556,0.032774279,0.039405194,0.096315415,0.080390465,0.157904714,-0.011016572,0.038711738,-0.020739429
3.836583333,0.035794541,0.029854548,0.061481851,0.08133649,0.152969558,-0.005332161,0.061883379,-0.020848315
3.864388889,0.204991531,0.027059076,0.064393083,0.079682505,0.155051706,0.028676549,0.068045957,-0.02293609
3.892180556,0.094287418,0.028383012,0.06514015,0.081109676,0.161459416,0.009924021,0.304501843,-0.051747486
3.919977778,0.078454265,0.027498197,0.06277965,0.083535907,0.156975689,0.032409919,0.006078822,-0.020073439
3.947783333,0.090511397,0.023641851,0.054201952,0.080460812,0.149595255,0.089074566,0.030811295,-0.02319489
3.975591667,0.088612067,0.022450173,0.050374248,0.084404823,0.146097109,0.072421264,0.061317255,-0.025210981
4.0034,0.066127006,0.029351583,0.067091485,0.081147566,0.148400915,0.127602005,0.251641732,-0.047379941
4.031191667,0.063769377,0.037879292,0.073423333,0.083393722,0.153763511,0.123474369,0.070027173,-0.026837442
4.058980556,0.061091135,0.02767275,0.076123158,0.079983341,0.144977312,0.134649411,0.027281973,-0.022006478
4.086786111,0.05526783,0.021167256,0.073031213,0.08256255,0.150456227,0.142804016,0.010766102,-0.022602747
4.114588889,0.036370108,0.031041092,0.075518829,0.085935496,0.152539866,0.153541049,0.010462807,-0.030882504
4.142386111,0.088102981,0.030917436,0.065858645,0.089575632,0.148609275,0.148767011,0.101215318,-0.021360961
4.170188889,0.18241292,0.029971064,0.068065019,0.089766609,0.138163811,0.139542907,0.034908807,-0.039554731
4.197994444,0.080948506,0.027464175,0.074870105,0.087245155,0.147991229,0.138511564,0.042463534,-0.037947271
4.225805556,0.05228245,0.032518785,0.070865851,0.090406705,0.145166221,0.14218155,0.071760854,-0.030541748
4.253605556,0.1203813,0.039015503,0.072802519,0.089155825,0.144186133,0.137759663,0.061334989,-0.047593946
4.281413889,0.081452975,0.021226621,0.072306312,0.088392528,0.14081352,0.155197129,0.048758988,-0.022889049
4.309216667,0.074318998,0.014675765,0.066062108,0.087774975,0.133190977,0.170314188,0.109418239,-0.027436974
4.337027778,0.089350609,0.021827123,0.069595593,0.092009297,0.14473444,0.181677358,0.065220069,-0.043636704
4.364833333,0.050958913,0.027607959,0.082360425,0.089566778,0.153201039,0.184726872,0.088562247,-0.043703103
4.392633333,0.087442079,0.035741565,0.067492666,0.092824874,0.136405391,0.187221025,0.089989951,-0.042601505
4.420438889,0.051643085,0.008699237,0.078552731,0.093368899,0.144881858,0.186055966,0.054096378,-0.043325191
4.448247222,0.051895608,0.013285126,0.077970533,0.09403981,0.144101286,0.188891143,0.01202673,-0.028663563
4.476058333,0.065059769,0.01410817,0.060953943,0.096574853,0.154297008,0.179229383,0.108083846,-0.042820084
4.503847222,0.071757025,0.021287981,0.074863116,0.094881238,0.142248136,0.169595146,0.057550189,-0.041756864
4.531644444,0.08045067,0.028941346,0.074329081,0.098510461,0.149057902,0.166589493,0.08566816,-0.033449906
4.559463889,0.085183177,0.032539018,0.082238599,0.092777968,0.1414422,0.161936053,0.03758675,-0.039732764
4.587255556,0.09251958,0.03044906,0.067174038,0.097774585,0.149193299,0.165416491,0.103014656,-0.04549524
