Time,M0-1 - 0%,M1-1 - 0%,M2-1 - 1%,M3-1 - 1%,M4-1 - 3%,M5-1 - 3%,M6-1 - 10%,M7-1 - 10%,M0 - 3%,M1 - 3%,M2 - 6%,M3 - 6%,M4 - 8%,M5 - 8%,M6 - 10%,M7 - 10%
18.34928889,0.253102633,0.183216054,0.424721303,0.444736955,0.72157874,0.618840054,0.413183747,0.316795068,0.940862068,0.764029675,2.554211888,3.126667329,3.627465118,4.058041637,3.783137569,5.194504135
18.37708611,0.241127348,0.184335503,0.42561122,0.439887491,0.727279531,0.620371083,0.405367253,0.312803078,0.946298567,0.76701425,2.573186839,3.150606274,3.632598969,4.077987903,3.795168253,5.166325631
18.40489722,0.246750956,0.173479507,0.419341725,0.44542378,0.732765317,0.621192262,0.407271026,0.322280347,0.962708551,0.771175298,2.591592844,3.162302719,3.691333556,4.096642365,3.864646159,5.190999612
18.4327,0.242459228,0.195585902,0.424494834,0.449400089,0.730644687,0.626601413,0.421436046,0.321633755,0.955452516,0.775691771,2.605498704,3.190905645,3.69091587,4.135746748,3.887557031,5.241138538
18.46050278,0.246659225,0.188206036,0.426633811,0.440425356,0.736923221,0.62723418,0.427146418,0.316397547,0.955813937,0.777321037,2.646867517,3.215256718,3.745125637,4.188665977,3.939377014,5.29269047
18.48831111,0.257837031,0.174315351,0.426567893,0.447076772,0.735694435,0.63150026,0.420892299,0.324668634,0.964213496,0.777294006,2.679516904,3.249989364,3.789731942,4.219380741,3.949757391,5.319139135
18.51612222,0.248081607,0.191342509,0.423049957,0.442201999,0.736009809,0.631409179,0.418334375,0.303286859,0.970657322,0.778970786,2.69885077,3.289966121,3.8372278,4.250646537,4.013317122,5.400129941
18.543925,0.25599152,0.175823245,0.429946789,0.460840649,0.740632775,0.634151189,0.428102377,0.328368877,0.975858787,0.782615361,2.707266744,3.294970205,3.861817612,4.310394534,4.05158853,5.456152945
18.57173611,0.254882699,0.194231162,0.427861403,0.457237106,0.746264737,0.637274743,0.428807695,0.299613937,0.979490648,0.793726939,2.75049422,3.335285619,3.895934819,4.312814337,4.094289679,5.456109581
18.59954444,0.259109656,0.230589754,0.431621713,0.46597155,0.751668166,0.643180707,0.435635955,0.371415846,0.978867727,0.789111229,2.761610869,3.352266599,3.910347074,4.362730846,4.12810301,5.484680737
