Time,M0 - 1000,M1 - 1000,M2 - 2000,M3 - 2000,M4 - 3000,M5 - 3000,M6 - 4000,M7 - 4000
8.313,0.188189789,0.330742503,0.26053438,0.321945479,0.363721043,0.27789691,0.254429882,0.189792326
8.340808333,0.197481747,0.264677667,0.255704839,0.321556162,0.336494843,0.281231648,0.261257292,0.203288946
8.368611111,0.190343745,0.219029057,0.265472358,0.319447457,0.355134394,0.281193881,0.262237663,0.206886353
8.396413889,0.174752188,0.230971314,0.25988405,0.335781205,0.312613061,0.286615845,0.264286706,0.205406645
8.424222222,0.203189591,0.233200676,0.262445742,0.3174265,0.37694831,0.291280765,0.259807343,0.198140194
8.452019444,0.210413814,0.192176472,0.265168248,0.322827238,0.309705785,0.291397889,0.266361495,0.198417516
8.479822222,0.191720951,0.25776526,0.265997021,0.318457436,0.351633986,0.288785519,0.263976311,0.209960564
8.507616667,0.183181118,0.262564759,0.266409016,0.330908969,0.335359432,0.292151159,0.269617325,0.216953098
8.535425,0.167320806,0.23006969,0.270292423,0.306244608,0.35494528,0.293621421,0.273930699,0.208197363
8.563230556,0.180122516,0.295644297,0.267339649,0.336996716,0.284287863,0.293068229,0.271518805,0.218431168
8.591041667,0.217223417,0.242199525,0.267081219,0.349170064,0.362991769,0.293145607,0.271549939,0.214853434
8.618833333,0.19561013,0.235709626,0.263366892,0.337014396,0.355255752,0.302113758,0.274206425,0.200260383
8.646644444,0.18812829,0.22909813,0.275100701,0.327662883,0.390150505,0.293394108,0.276719735,0.213248016
8.674436111,0.188173484,0.265781908,0.263060261,0.345873477,0.383039487,0.316890831,0.271619447,0.224754996
8.702225,0.192212416,0.238062372,0.276104907,0.357387127,0.387426783,0.318919365,0.274536982,0.214890852
8.730033333,0.209762427,0.217219635,0.268302194,0.36287435,0.365986411,0.313231379,0.269248807,0.206164656
8.757827778,0.201276531,0.178145888,0.266231757,0.326177904,0.323530194,0.321075525,0.272678895,0.227614589
8.785638889,0.20084781,0.269028164,0.271101867,0.32441278,0.359694337,0.324635265,0.271746754,0.231969831
8.813427778,0.211314923,0.260670923,0.27125088,0.330408047,0.356642761,0.327892198,0.272318748,0.230733813
8.841233333,0.19841037,0.217430119,0.266826326,0.348549511,0.336614543,0.333217941,0.276722879,0.214844745
8.869025,0.195458536,0.266945198,0.269674521,0.338725253,0.356227475,0.323694627,0.271879393,0.228752305
8.896833333,0.196406828,0.178184828,0.269561815,0.352046383,0.347312849,0.327169608,0.284351853,0.225041954
8.924636111,0.180637442,0.224476903,0.270123298,0.337878713,0.345533602,0.326460761,0.306011917,0.232999663
8.952444444,0.193055598,0.255043234,0.272542236,0.354740389,0.366692207,0.32485755,0.28509867,0.246762396
8.980269444,0.189338173,0.251103024,0.27556753,0.362505195,0.367245415,0.329161784,0.299820682,0.252971025
9.008066667,0.201713898,0.16009539,0.276419009,0.338918805,0.338044841,0.333594346,0.304225559,0.230480841
9.035852778,0.196403163,0.168239122,0.284289034,0.330622685,0.37127607,0.330830756,0.301458449,0.228892828
9.063661111,0.200245479,0.274947691,0.280401696,0.337398497,0.344518235,0.327775442,0.308251883,0.248499862
9.091472222,0.210689699,0.257500139,0.280084787,0.350476642,0.359677612,0.329911606,0.294932278,0.253858783
9.119280556,0.200348794,0.202624341,0.288489823,0.356005527,0.379392961,0.328042795,0.291852197,0.237918487
9.147075,0.225498532,0.290006874,0.282993654,0.355589105,0.380464395,0.3420321,0.285337342,0.234942729
9.174883333,0.20287894,0.203026678,0.28274303,0.361270239,0.356422881,0.331838905,0.284277242,0.251762626
9.202694444,0.205176007,0.217167126,0.29368125,0.358000037,0.35545294,0.33436368,0.292262105,0.263056544
9.230497222,0.2053048,0.180075919,0.292608973,0.364097106,0.340321286,0.344542795,0.298449309,0.259836823
9.258288889,0.222413999,0.175134495,0.282882919,0.357993059,0.363325987,0.344564589,0.289295206,0.248169359
9.2861,0.217336273,0.270773448,0.286166194,0.361986432,0.337816057,0.340909768,0.311831478,0.249615403
9.3139,0.212489784,0.232383832,0.286183298,0.366085161,0.369150696,0.357170183,0.297415897,0.265888889
9.341711111,0.208658103,0.209146242,0.296796509,0.370987733,0.359565744,0.352565546,0.302521904,0.252144282
9.369505556,0.207601575,0.201446624,0.292381254,0.376317555,0.339090747,0.349548314,0.317594948,0.276764297
9.397311111,0.210022499,0.205867692,0.298165766,0.373437591,0.376671851,0.357576041,0.31041423,0.276994915
9.425111111,0.217941221,0.195040586,0.28968132,0.379655229,0.35780074,0.354774273,0.315083981,0.258104147
